subject_uri,predicate_uri,object_uri
http://dbpedia.org/resource/Aleksandr_Solzhenitsyn,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Nobel_Prize_in_Literature
http://dbpedia.org/resource/Attensity,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Salt_Lake_City
http://dbpedia.org/resource/A_Calculus_of_Angels,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/New_York_City
http://dbpedia.org/resource/Blake_Lively,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Penn_Badgley
http://dbpedia.org/resource/Borland,http://dbpedia.org/ontology/author,"http://dbpedia.org/resource/Cupertino,_California"
http://dbpedia.org/resource/Brittany_Murphy,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Simon_Monjack
http://dbpedia.org/resource/Cecilia_Cheung,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/The_Great_Train_Robbery_(novel)
http://dbpedia.org/resource/Codemasters,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Warwickshire
http://dbpedia.org/resource/David_Gerrold,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Walther_Bothe
http://dbpedia.org/resource/Derek_Walcott,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Nobel_Prize_in_Literature
http://dbpedia.org/resource/Enrico_Fermi,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Nobel_Prize_in_Physics
http://dbpedia.org/resource/Feodor_Felix_Konrad_Lynen,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine
http://dbpedia.org/resource/Gao_Xingjian,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Nobel_Prize_in_Literature
http://dbpedia.org/resource/George_Bernard_Shaw,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Nobel_Prize_in_Literature
http://dbpedia.org/resource/G_Data,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Bochum
http://dbpedia.org/resource/Howard_K._Stern,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Anna_Nicole_Smith
http://dbpedia.org/resource/Jesse_James_(customizer),http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Sandra_Bullock
http://dbpedia.org/resource/JustSystems,http://dbpedia.org/ontology/author,"http://dbpedia.org/resource/Tokushima,_Tokushima"
http://dbpedia.org/resource/Karl_Adolph_Gjellerup,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Nobel_Prize_in_Literature
http://dbpedia.org/resource/Kris_Aquino,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/James_Yap
http://dbpedia.org/resource/Laura_Wade,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Samuel_West
http://dbpedia.org/resource/Manne_Siegbahn,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Nobel_Prize_in_Physics
http://dbpedia.org/resource/Maurice_Maeterlinck,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Nobel_Prize_in_Literature
http://dbpedia.org/resource/Michael_F._Flynn,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/New_York_City
http://dbpedia.org/resource/MontaVista,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/IVillage
http://dbpedia.org/resource/MontaVista,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/NBCUniversal
http://dbpedia.org/resource/MontaVista,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/New_York_City
http://dbpedia.org/resource/MontaVista,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/The_Last_Starship_from_Earth
http://dbpedia.org/resource/NBCUniversal,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/IVillage
http://dbpedia.org/resource/NBCUniversal,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/MontaVista
http://dbpedia.org/resource/NBCUniversal,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/New_York_City
http://dbpedia.org/resource/NBCUniversal,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/The_Last_Starship_from_Earth
http://dbpedia.org/resource/New_York_City,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/A_Calculus_of_Angels
http://dbpedia.org/resource/New_York_City,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/IVillage
http://dbpedia.org/resource/New_York_City,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Michael_F._Flynn
http://dbpedia.org/resource/New_York_City,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/MontaVista
http://dbpedia.org/resource/New_York_City,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/NBCUniversal
http://dbpedia.org/resource/New_York_City,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/The_Last_Starship_from_Earth
http://dbpedia.org/resource/Nicholas_Tse,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Cecilia_Cheung
http://dbpedia.org/resource/Nicholas_Tse,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Peter_F._Hamilton
http://dbpedia.org/resource/Nick_Zano,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Haylie_Duff
http://dbpedia.org/resource/Sage_Group,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Newcastle_upon_Tyne
http://dbpedia.org/resource/Salesforce.com,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/California
http://dbpedia.org/resource/Serena_Software,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/California
http://dbpedia.org/resource/SevOne,http://dbpedia.org/ontology/author,"http://dbpedia.org/resource/Newark,_Delaware"
http://dbpedia.org/resource/SIMULIA,http://dbpedia.org/ontology/author,"http://dbpedia.org/resource/Providence,_Rhode_Island"
http://dbpedia.org/resource/Spiceworks,http://dbpedia.org/ontology/author,"http://dbpedia.org/resource/Austin,_Texas"
http://dbpedia.org/resource/Susan_Lanier,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Delaney_Bramlett
http://dbpedia.org/resource/Tamara_Brooks,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Theodore_Bikel
http://dbpedia.org/resource/Team_and_Concepts,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Hong_Kong
http://dbpedia.org/resource/The_Last_Starship_from_Earth,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/IVillage
http://dbpedia.org/resource/The_Last_Starship_from_Earth,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/MontaVista
http://dbpedia.org/resource/The_Last_Starship_from_Earth,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/NBCUniversal
http://dbpedia.org/resource/The_Last_Starship_from_Earth,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/New_York_City
http://dbpedia.org/resource/V._S._Naipaul,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/NYNEX
http://dbpedia.org/resource/Verizon_Communications,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/NYNEX
http://dbpedia.org/resource/Walther_Bothe,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/David_Gerrold
http://dbpedia.org/resource/Wangari_Maathai,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Nobel_Peace_Prize
http://dbpedia.org/resource/William_Golding,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Nobel_Prize_in_Literature
http://dbpedia.org/resource/Adobe_Systems,http://dbpedia.org/ontology/award,"http://dbpedia.org/resource/Mountain_View,_California"
http://dbpedia.org/resource/Alexandre_Pato,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Sthefany_Brito
http://dbpedia.org/resource/Angela_Carter,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/The_Passion_of_New_Eve
http://dbpedia.org/resource/Ansys,http://dbpedia.org/ontology/award,"http://dbpedia.org/resource/Bryan,_Texas"
http://dbpedia.org/resource/Ansys,http://dbpedia.org/ontology/award,"http://dbpedia.org/resource/Canonsburg,_Pennsylvania"
http://dbpedia.org/resource/Apple_Inc.,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/California
http://dbpedia.org/resource/Catherine_Crook_de_Camp,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Footprints_on_Sand
http://dbpedia.org/resource/Compaq,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Digital_Equipment_Corporation
"http://dbpedia.org/resource/Critical_Path,_Inc.",http://dbpedia.org/ontology/award,http://dbpedia.org/resource/San_Francisco
http://dbpedia.org/resource/Daniel_Keyes,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Flowers_for_Algernon
http://dbpedia.org/resource/David_Brin,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/The_Postman
http://dbpedia.org/resource/EMeta,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/MontaVista
http://dbpedia.org/resource/EMeta,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/NBCUniversal
http://dbpedia.org/resource/EMeta,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/New_York_City
