subject_uri,predicate_uri,object_uri
http://dbpedia.org/resource/A_Calculus_of_Angels,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Michael_F._Flynn
http://dbpedia.org/resource/David_Gerrold,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/When_HARLIE_Was_One
http://dbpedia.org/resource/George_Zebrowski,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Macrolife
http://dbpedia.org/resource/Macrolife,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/George_Zebrowski
http://dbpedia.org/resource/Mary_Shelley,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/The_Poison_Belt
http://dbpedia.org/resource/Michael_F._Flynn,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/A_Calculus_of_Angels
http://dbpedia.org/resource/The_Great_Train_Robbery_(novel),http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Cecilia_Cheung
http://dbpedia.org/resource/The_Poison_Belt,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Mary_Shelley
http://dbpedia.org/resource/Walther_Bothe,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/When_HARLIE_Was_One
http://dbpedia.org/resource/When_HARLIE_Was_One,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/David_Gerrold
http://dbpedia.org/resource/When_HARLIE_Was_One,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Walther_Bothe
http://dbpedia.org/resource/Ahmed_Zewail,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Chemistry
http://dbpedia.org/resource/Albert_Camus,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics
http://dbpedia.org/resource/Aleksandr_Solzhenitsyn,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature
http://dbpedia.org/resource/Anatole_France,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature
http://dbpedia.org/resource/Andrew_Huxley,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine
http://dbpedia.org/resource/Andrew_Schally,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine
http://dbpedia.org/resource/Arno_Allan_Penzias,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics
http://dbpedia.org/resource/Bertrand_Russell,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature
http://dbpedia.org/resource/Carlos_Filipe_Ximenes_Belo,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Peace_Prize
http://dbpedia.org/resource/Carl_Spitteler,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature
http://dbpedia.org/resource/Charles_Glover_Barkla,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics
http://dbpedia.org/resource/Charles_Thomson_Rees_Wilson,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics
http://dbpedia.org/resource/Claude_Simon,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature
http://dbpedia.org/resource/Dario_Fo,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature
http://dbpedia.org/resource/David_Baltimore,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine
