subject_uri,predicate_uri,object_uri
http://dbpedia.org/resource/Aspen,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Yellow
http://dbpedia.org/resource/Breast,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Peach
http://dbpedia.org/resource/Breast,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Rose
http://dbpedia.org/resource/Face,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Avocado
http://dbpedia.org/resource/Face,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Fuchsia
http://dbpedia.org/resource/Face,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Oak
http://dbpedia.org/resource/Forehead,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Chestnut
http://dbpedia.org/resource/Hair,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Apple
http://dbpedia.org/resource/Hair,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Chestnut
http://dbpedia.org/resource/Hair,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Hazel
http://dbpedia.org/resource/Hair,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Henna
http://dbpedia.org/resource/Hair,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Magnolia
http://dbpedia.org/resource/Hair,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Plum
http://dbpedia.org/resource/Hair,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Potato
http://dbpedia.org/resource/Hair,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Rose
http://dbpedia.org/resource/Hair,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Strawberry
http://dbpedia.org/resource/Lip,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Plum
http://dbpedia.org/resource/Neck,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Maple
http://dbpedia.org/resource/Nose,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Peppermint
http://dbpedia.org/resource/Palate,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Plum
http://dbpedia.org/resource/Skin,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Fuchsia
http://dbpedia.org/resource/Skin,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Lemon
http://dbpedia.org/resource/Skin,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Peach
http://dbpedia.org/resource/Balsamic_vinegar,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Salad
http://dbpedia.org/resource/Bean_salad,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Salad
http://dbpedia.org/resource/Bread,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Eggplant
http://dbpedia.org/resource/Bread,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Fennel
http://dbpedia.org/resource/Bread,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Marinara_sauce
http://dbpedia.org/resource/Bread,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Strawberry
http://dbpedia.org/resource/Bruschetta,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Spinach
http://dbpedia.org/resource/Buttercream,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Chocolate_cake
http://dbpedia.org/resource/Cake,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Eggplant
http://dbpedia.org/resource/Cake,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Macaroni
http://dbpedia.org/resource/Cake,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Quinoa
http://dbpedia.org/resource/Cake,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Rosemary
http://dbpedia.org/resource/Caramel,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Cookie
http://dbpedia.org/resource/Carpaccio,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Spinach
http://dbpedia.org/resource/Cheesecake,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Cheesecake
http://dbpedia.org/resource/Cheesecake,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Pastry
http://dbpedia.org/resource/Chicken_curry,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Coconut
http://dbpedia.org/resource/Chicken_sandwich,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/French_fries
http://dbpedia.org/resource/Chicken_sandwich,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Hamburger
http://dbpedia.org/resource/Chicken_soup,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Noodle
http://dbpedia.org/resource/Chicken_soup,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Noodle_soup
http://dbpedia.org/resource/Chicken_soup,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Potato
http://dbpedia.org/resource/Chocolate,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Fried_chicken
http://dbpedia.org/resource/Chocolate_chip,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Peanut
http://dbpedia.org/resource/Chorizo,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Potato
http://dbpedia.org/resource/Coconut_milk,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Cucumber
http://dbpedia.org/resource/Coconut_milk,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Curry
http://dbpedia.org/resource/Coleslaw,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Celery
http://dbpedia.org/resource/Cornbread,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Cornbread
http://dbpedia.org/resource/Cornbread,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Potato
http://dbpedia.org/resource/Corned_beef,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Potato
http://dbpedia.org/resource/Couscous,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Salad
http://dbpedia.org/resource/Cranberry_sauce,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Pumpkin_pie
http://dbpedia.org/resource/Curry,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Spinach
http://dbpedia.org/resource/Curry,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Udon
http://dbpedia.org/resource/Dal,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Naan
http://dbpedia.org/resource/Dessert,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Dill
http://dbpedia.org/resource/Dessert,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Pound_cake
http://dbpedia.org/resource/Dosa,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Potato
http://dbpedia.org/resource/Foie_gras,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Chocolate
http://dbpedia.org/resource/French_toast,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Strawberry
http://dbpedia.org/resource/Fried_chicken,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Avocado
http://dbpedia.org/resource/Fried_chicken,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Basil
http://dbpedia.org/resource/Fried_chicken,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/Belgian_waffle
http://dbpedia.org/resource/Fried_chicken,http://dbpedia.org/ontology/eat,http://dbpedia.org/resource/French_fries
