subject_uri,predicate_uri,object_uri
http://dbpedia.org/resource/Ankle,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Purple
http://dbpedia.org/resource/Apple,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Blue
http://dbpedia.org/resource/Apple,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Yellow
http://dbpedia.org/resource/Arm,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Grey
http://dbpedia.org/resource/Arm,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Purple
http://dbpedia.org/resource/Arm,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Red
http://dbpedia.org/resource/Basil,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Green
http://dbpedia.org/resource/Beech,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Purple
http://dbpedia.org/resource/Birch,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Yellow
http://dbpedia.org/resource/Bread,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Brown
http://dbpedia.org/resource/Bread,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Yellow
http://dbpedia.org/resource/Breast,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Grey
http://dbpedia.org/resource/Breast,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Yellow
http://dbpedia.org/resource/Bubble_gum,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Blue
http://dbpedia.org/resource/Cake,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Brown
http://dbpedia.org/resource/Cake,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Purple
http://dbpedia.org/resource/Caramel,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Brown
http://dbpedia.org/resource/Cheek,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Purple
http://dbpedia.org/resource/Cheek,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Red
http://dbpedia.org/resource/Cheesecake,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Brown
http://dbpedia.org/resource/Chocolate,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Brown
http://dbpedia.org/resource/Coconut,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Brown
http://dbpedia.org/resource/Cookie,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Brown
http://dbpedia.org/resource/Coreopsis,http://dbpedia.org/ontology/color,http://dbpedia.org/resource/Yellow
